"Indice_Violencia_e_Confronto_Geral","Indice_Vulnerabilidade_e_Furtos","Perfil_Cidade","Categoria_Cidade","Furto_X14"
-0.0214679434668292,-0.313666367369889,"1","Estável",78
0.0768083075668111,-0.352599201269808,"1","Estável",17
6.78340446009271,6.34547601645312,"2","Crítica / Metrópole",4434
7.60759438648043,2.94734338931848,"2","Crítica / Metrópole",4620
10.8543664426913,4.2310274669222,"2","Crítica / Metrópole",5760
6.31561096439613,9.89976873087323,"2","Crítica / Metrópole",5751
9.25150885546608,1.80595187273984,"2","Crítica / Metrópole",5177
0.0390985548559631,-0.355231670872859,"1","Estável",1
1.97869441533492,-0.672866613300842,"1","Estável",929
8.12149007385315,2.33210919734984,"2","Crítica / Metrópole",5427
1.1221276594026,1.66164403629383,"3","Vulnerabilidade Moderada",802
-0.0438461958048177,-0.267153875496171,"1","Estável",3
0.0115318053808705,-0.277856031391171,"1","Estável",39
0.0234520967932049,-0.291772804308011,"1","Estável",7
0.00823528321472319,-0.271399240380196,"1","Estável",2
1.27729587935724,-0.296859294697494,"1","Estável",562
-0.848147609303162,1.35579774258954,"3","Vulnerabilidade Moderada",217
1.72661450011514,1.0859374372209,"1","Estável",695
0.873087531482893,-0.562625418065594,"1","Estável",359
0.533085009547487,1.35881094535904,"3","Vulnerabilidade Moderada",601
-0.637809673059002,1.45619591616181,"3","Vulnerabilidade Moderada",383
-0.401693135423058,-0.322497560431528,"1","Estável",190
0.570544018127671,-0.190474218988038,"1","Estável",558
0.059999832608653,-0.250848848038145,"1","Estável",27
-0.0177300350492769,-0.276060816133816,"1","Estável",5
0.0410476614278318,-0.296822320866476,"1","Estável",13
0.00822551338330732,-0.270738814448737,"1","Estável",1
-0.0177788842063565,-0.272758686476518,"1","Estável",6
0.0341712919844756,-0.264756386832199,"1","Estável",11
0.00819620388905948,-0.268757536654358,"1","Estável",7
0.00819620388905948,-0.268757536654358,"1","Estável",7
-0.0674229931812566,-0.257151829811899,"1","Estável",4
-0.0177300350492769,-0.276060816133816,"1","Estável",3
-0.00600514026526106,-0.276769070421464,"1","Estável",44
0.00820597372047557,-0.269417962585818,"1","Estável",12
1.90570226096974,-0.181714281713635,"1","Estável",738
0.124078739106097,-0.363644268231486,"1","Estável",58
-0.559498107388567,1.43316579722299,"3","Vulnerabilidade Moderada",252
-0.815533431964532,1.48572879181825,"3","Vulnerabilidade Moderada",418
-0.104976481077944,-0.397592649107616,"1","Estável",65
1.47753755212239,-0.430558399100644,"1","Estável",978
