"X14","X15","X10","X17","X2","X16","X9","X11","X1","X5","X12","X7","X4","X3","X6"
78,31,5,4,0,2,0,1,1,0,0,0,0,0,0
17,5,2,1,1,0,0,0,1,0,0,0,0,0,0
4434,343,583,522,27,73,31,31,13,26,4,5,2,1,0
4620,337,511,546,27,83,30,24,11,20,2,3,3,0,3
5760,422,853,790,19,195,37,42,9,12,3,4,3,2,0
5751,402,779,689,27,160,28,33,11,19,6,4,3,0,3
5177,323,601,628,28,118,19,31,13,14,2,5,6,1,0
1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
929,108,231,186,9,78,5,11,5,2,0,0,4,1,1
5427,378,649,683,17,138,19,26,14,25,2,9,2,0,0
802,82,244,141,10,76,1,10,1,2,1,2,0,0,0
3,3,0,2,0,0,0,1,0,0,0,0,0,0,0
39,16,0,0,1,0,0,0,0,0,0,0,0,0,0
7,3,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
562,126,55,37,3,2,6,2,1,1,0,1,0,1,0
217,64,33,7,2,3,6,1,2,1,1,2,0,0,0
695,80,188,147,8,53,4,3,4,2,1,0,1,0,0
359,59,31,56,2,3,6,0,1,1,0,1,2,0,0
601,173,59,47,0,0,7,3,2,0,1,1,1,0,0
383,48,106,50,3,35,7,3,2,2,1,1,0,0,0
190,72,25,6,1,9,2,1,1,2,0,1,0,1,0
558,164,51,41,0,6,3,3,3,3,0,0,0,1,1
27,16,3,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,2,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,0,0,0,0,0,0,0,0
738,78,217,128,7,68,4,5,4,4,0,1,0,0,0
58,23,21,5,2,5,1,0,1,0,0,1,1,0,0
252,55,29,27,1,2,0,3,0,1,1,1,0,0,0
418,96,29,15,4,4,2,4,1,2,1,0,0,0,0
65,28,6,6,1,1,1,1,1,1,0,0,2,0,0
978,125,92,129,5,27,0,8,1,2,0,1,0,0,0
337,51,64,72,2,20,7,1,1,1,1,0,0,0,0
371,87,38,17,9,4,5,2,2,0,2,1,0,0,0
55,30,12,1,1,0,1,0,1,1,0,0,0,0,0
163,39,11,7,4,2,3,3,1,1,0,0,1,0,0
404,86,37,52,3,7,3,5,1,2,1,0,0,0,0
856,96,117,84,4,25,3,4,3,1,1,0,0,0,0
78,24,16,17,2,6,1,0,1,1,0,0,1,0,0
119,22,8,6,4,2,0,1,1,1,0,0,1,0,0
167,36,12,9,4,3,2,1,1,1,1,0,0,0,0
525,92,78,68,2,26,2,2,3,1,0,0,0,2,0
1111,119,132,161,7,35,8,7,0,1,1,1,0,0,0
371,70,100,71,3,33,5,3,1,3,0,0,1,0,0
799,111,247,165,9,78,7,10,0,2,2,0,0,0,1
69,26,4,3,0,0,0,0,0,1,0,1,0,0,1
1086,132,153,153,6,26,5,13,3,0,5,2,0,0,0
75,21,11,26,2,2,1,1,2,1,0,0,0,0,1
599,167,58,57,2,7,3,2,1,2,0,1,0,0,0
78,12,10,5,1,1,3,0,1,2,0,0,0,1,0
285,38,34,15,4,2,3,1,2,0,0,0,1,1,0
484,70,79,67,3,25,1,4,0,1,2,0,0,0,1
1160,108,109,141,5,27,3,11,3,2,0,1,0,0,0
287,62,95,43,7,17,1,2,2,2,0,0,0,1,0
88,10,11,7,2,8,0,0,1,1,1,0,0,0,0
74,16,9,3,0,1,2,1,2,0,1,0,0,1,0
183,72,41,10,4,6,4,3,2,1,1,0,0,0,0
921,117,118,116,5,22,3,8,1,2,0,1,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
317,67,103,60,5,30,4,0,3,2,0,0,0,0,0
275,77,21,52,1,5,0,0,1,1,0,0,0,0,0
235,64,12,16,3,0,5,3,1,1,0,0,0,0,0
75,21,5,1,0,0,2,0,0,1,1,0,0,0,0
26,9,3,0,0,0,1,0,1,0,0,1,0,0,0
38,8,5,1,0,0,1,0,1,1,0,0,0,0,0
63,5,5,3,1,1,1,0,0,1,0,1,0,0,0
27,13,4,0,0,1,0,1,0,0,1,1,0,0,0
119,16,14,13,2,8,1,0,1,1,0,0,0,0,0
74,13,3,1,0,1,0,0,1,0,0,0,1,0,0
86,25,8,2,0,0,5,3,0,2,0,0,1,0,0
67,21,26,7,2,7,2,2,1,0,0,0,1,0,0
94,27,8,2,2,1,2,0,1,0,0,1,0,0,0
47,18,16,2,1,1,0,0,1,0,0,0,0,0,1
20,13,5,2,0,4,0,0,1,0,0,0,1,0,0
38,22,1,2,0,1,1,0,0,1,0,0,1,0,0
220,55,16,31,3,0,4,2,0,1,2,0,0,0,0
89,34,3,0,1,0,0,1,1,0,0,0,1,0,0
210,61,9,7,2,0,2,1,1,1,0,0,0,0,0
6,4,3,0,0,2,0,0,1,0,1,0,0,0,0
174,76,26,7,1,5,1,0,0,1,0,0,0,0,1
36,7,2,0,0,0,0,0,1,0,0,0,1,0,0
375,54,88,73,3,25,10,4,3,1,0,0,0,0,0
353,65,21,75,1,6,1,2,1,0,0,0,0,2,0
328,65,31,26,3,5,14,1,1,1,0,0,0,0,0
63,24,1,0,2,0,2,2,0,1,0,0,1,0,0
32,3,8,3,1,3,1,0,1,0,0,1,0,0,0
432,84,46,15,3,1,6,0,1,0,2,0,0,0,0
103,12,10,11,0,2,2,1,0,1,0,1,0,0,0
70,17,2,3,0,0,1,1,3,1,0,0,0,0,0
0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
169,81,57,21,7,8,8,2,5,0,0,0,0,0,1
47,23,4,1,0,0,2,1,0,1,1,0,0,0,0
96,28,13,5,1,1,1,2,0,1,0,0,2,0,0
43,11,1,1,0,1,0,0,1,0,0,0,1,0,0
101,29,19,5,1,9,1,0,1,1,0,0,0,0,0
179,35,11,9,1,1,2,0,0,1,2,0,0,0,0
88,26,28,11,0,6,1,2,0,1,0,1,0,0,0
71,27,9,5,1,2,1,0,1,0,1,0,0,0,0
368,87,28,71,0,14,4,4,1,0,0,0,1,0,0
354,68,20,13,1,2,8,1,1,0,0,1,0,0,0
12,6,0,0,0,0,0,0,2,1,0,0,0,0,0
68,16,12,16,4,4,1,0,2,0,0,1,0,0,0
345,47,24,35,3,2,3,1,1,1,0,0,0,0,0
114,29,7,9,3,0,1,0,1,1,0,0,0,0,0
5,2,0,1,0,0,0,0,0,1,0,0,0,0,1
94,29,9,2,0,4,2,0,0,1,1,0,0,0,0
599,225,51,50,1,6,5,3,3,1,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,9,6,2,0,0,0,0,0,0,1,0,0,0,1
90,18,1,3,0,1,1,0,2,2,0,0,0,0,0
59,13,4,1,0,2,1,0,1,0,0,1,0,0,0
232,44,9,39,0,0,1,0,1,2,0,0,0,0,0
166,56,67,21,9,13,6,1,3,0,0,0,0,1,0
14,3,2,2,2,0,0,0,1,1,0,0,0,0,0
220,39,31,37,4,1,3,1,0,0,0,1,0,1,0
80,20,32,4,0,4,2,2,0,0,1,1,0,0,0
521,105,58,61,8,14,1,8,0,1,1,0,0,0,0
188,39,13,10,2,3,0,1,1,1,0,0,0,0,0
22,6,3,1,0,0,0,0,1,0,0,0,1,0,0
20,9,3,1,0,2,3,0,2,0,0,0,0,1,0
30,6,2,1,0,0,0,0,1,1,0,0,0,0,0
40,18,5,2,0,1,0,2,1,1,0,0,0,0,0
309,53,15,32,5,1,2,1,2,4,0,0,0,0,0
179,26,6,5,1,0,2,1,1,0,1,0,0,0,0
65,13,0,1,0,0,1,0,1,0,0,1,0,0,0
46,13,2,1,0,0,0,1,1,1,0,0,0,0,0
31,7,2,3,0,0,1,0,1,0,0,1,0,0,0
8,2,1,0,0,0,0,0,1,0,0,0,1,0,0
77,18,7,1,0,2,1,3,0,1,0,1,0,0,0
143,18,7,7,1,1,1,0,0,1,1,0,0,0,0
88,21,11,1,3,1,3,2,2,0,1,0,0,0,0
297,56,16,19,1,0,1,1,1,1,0,0,0,0,0
212,56,6,33,0,0,2,0,2,1,0,0,0,0,0
153,61,38,19,6,5,5,0,0,1,0,0,0,1,0
71,23,21,8,1,5,4,2,0,2,1,0,0,0,0
21,7,1,0,3,0,0,0,0,1,0,0,1,0,0
27,17,3,3,0,0,0,0,1,1,0,0,0,0,0
11,4,0,3,0,0,0,0,3,0,0,0,0,1,0
816,95,189,128,10,62,4,5,3,1,0,0,0,0,0
325,66,32,60,0,11,0,3,1,1,0,0,0,0,0
139,29,6,2,1,2,1,0,0,0,1,1,0,0,0
278,68,24,20,4,2,5,1,3,1,0,0,0,0,0
16,3,0,0,0,0,0,0,1,0,0,0,0,1,0
71,20,15,14,2,3,0,0,2,1,0,0,0,0,0
280,46,16,47,3,5,5,3,0,2,0,1,0,0,0
34,7,3,3,2,1,0,1,1,0,0,0,0,1,0
37,11,3,3,0,0,0,1,1,1,0,0,0,0,0
9,9,0,2,0,0,0,0,1,0,1,0,0,0,0
386,93,36,14,9,1,1,0,3,0,0,0,1,0,0
94,20,14,2,3,1,2,0,2,1,0,0,0,0,0
240,43,1,16,0,1,0,0,1,2,0,0,0,0,0
190,76,38,17,6,9,9,0,0,1,0,0,1,0,0
4,2,0,0,0,0,0,0,1,0,0,0,1,0,0
24,8,0,0,0,0,0,0,1,1,0,0,0,0,0
